"Word","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean"
"A",0,0.357,1.071,0.357,0
"A CAPPELLA",0.381,0.429,2.714,3.714,1
"AARDVARK",0.176,0.706,2.235,0.059,0.059
"ABACK",0,0,3.273,0.364,0.182
"ABACUS",0,2.474,2.632,0.105,0
"ABANDON",1.1,0.7,2.45,0.55,0.9
"ABANDONED",1.316,1.053,2.632,0.895,0.789
"ABANDONEE",0.765,0.882,1.824,0.941,1.059
"ABANDONER",0.944,1.278,1.722,1,0.444
"ABANDONMENT",0.524,0.429,2.143,0.714,0.333
"ABASEMENT",0.429,0.952,2.143,1.571,0.667
"ABBREVIATE",0.158,2.105,2,1.789,0.211
"ABBREVIATED",0.3,0.8,2.2,2.25,0.3
"ABBREVIATION",0,0.444,1.333,1.111,0
"ABDICATE",0.933,0.867,2.467,1.533,0.6
"ABDOMEN",0.263,1.316,0.947,0.211,4.158
"ABDOMINAL",0.333,0.476,0.857,0.381,4.143
"ABDOMINALLY",0.158,0.368,0.632,0.316,3.474
"ABDUCT",1.95,2.55,2.35,1.85,1.7
"ABDUCTEE",1.412,1.824,2.353,1.412,1.529
"ABDUCTION",1.81,2.333,1.952,1.476,1.333
"ABDUCTOR",1.222,2,2.389,1.444,1.222
"ABHOR",0.111,0.222,1.833,1.111,0.111
"ABHORRENCE",0.588,0.706,3.529,1.471,0.647
"ABHORRENTLY",0.043,0.087,1.739,1.304,0
"ABHORRING",0.5,1.062,3.062,1.875,0.688
"ABIDE",0.579,0.789,2.105,1.421,0.789
"ABIDING",0.556,0.889,2.389,0.889,0.667
"ABIDINGLY",0.706,0.647,1.353,1.118,0.647
"ABILITY",2.455,2.545,2.727,1.955,1.955
"ABLAZE",0.389,0.556,2.278,0.722,0.333
"ABLE",1.895,2.316,2.684,1.474,1.684
"ABLY",1.647,2.059,2.647,1.529,1.706
"ABNORMAL",0.571,0.762,2.429,1,0.714
"ABNORMALITY",0.684,1.105,2.474,0.895,0.421
"ABNORMALLY",0.941,1.176,2.706,1.176,0.941
"ABOARD",2.778,2.167,2.5,1.333,1.889
"ABODE",1.25,1.312,2.438,1.312,1.312
"ABOLISH",0.316,0.947,2.526,1.105,0.368
