"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean"
"A",2.214,0,0.429,0,0,2.429
"A CAPPELLA",4.333,0,0.222,0.722,0,1.667
"AARDVARK",1.625,0.562,1.625,0.062,1.25,4.125
"ABACK",1.294,0.059,0.294,1.353,0,2.824
"ABACUS",1.556,0.167,3.722,0.278,0.111,3.944
"ABANDON",0.941,0.118,0.294,2.118,0.059,2.176
"ABANDONED",1.444,0,0.056,1.667,0,2.778
"ABANDONEE",1.938,0,1.375,0.562,0.25,3.938
"ABANDONER",0.571,0,0.143,1.643,0,2.214
"ABANDONMENT",2.133,0.067,1.2,2.933,0.067,3
"ABASEMENT",2.833,0.167,0.667,1.25,0.167,3
"ABBREVIATE",2.4,0,0.15,0.45,0,2.65
"ABBREVIATED",1.889,0,0.278,0.444,0,3.111
"ABBREVIATION",2.737,0.053,0.158,0.474,0,3.947
"ABDICATE",2.333,0.167,0.167,0.417,0.25,3.25
"ABDOMEN",0.588,0.235,3.294,2.353,0.235,3.647
"ABDOMINAL",0.933,0.2,3.2,2.733,0.2,3.8
"ABDOMINALLY",0.412,0.471,0.882,2.059,0.176,1.353
"ABDUCT",1.737,0,1,0.579,0.105,2.895
"ABDUCTEE",1.25,0.1,0.6,0.55,0.1,2.9
"ABDUCTION",2.059,0,1.529,2.176,0,4
"ABDUCTOR",2.353,0.294,1.824,0.941,0.353,3.059
"ABHOR",1.696,0,0.174,2.087,0.174,1.783
"ABHORRENCE",1.312,0.188,0.5,2.75,0.438,1.5
"ABHORRENTLY",2.267,0.867,0.467,2.733,1,2.267
"ABHORRING",1,0.2,0,3.2,0.2,1.4
"ABIDE",1.188,0.062,0.438,1.188,0.188,1.688
"ABIDING",0.533,0.133,0.133,1.467,0.2,0.6
"ABIDINGLY",1.583,0.083,0.167,1.583,0.083,1.75
"ABILITY",1.222,0.278,0.833,2.556,0.167,2
"ABLAZE",1.471,0,1.118,0.824,0.941,3.706
"ABLE",1.133,0.933,1.267,3.067,0.667,2
"ABLY",1.176,0,0.235,1.176,0,2.529
"ABNORMAL",1.895,1.263,2,2.053,1.526,3
"ABNORMALITY",1.421,0.684,1.842,1.526,0.789,3.053
"ABNORMALLY",1.056,0.444,1.111,2.389,0.444,2.556
"ABOARD",1.19,0,0.714,0.714,0.238,2.857
"ABODE",0.867,0.133,2.067,0.733,1.2,3.6
"ABOLISH",2.12,0.24,0.96,1.12,0.16,2.32
"ABOLISHABLE",1.667,0,0.4,0.467,0,2.067
"ABOLISHER",0.643,0.143,0.429,0.643,0.286,2.286
"ABOLISHMENT",2.294,0,0.294,0.294,0,2.882
"ABOLITION",0.727,0,0.273,1.182,0,1.273
"ABOLITIONISM",2,0.059,0.118,0.824,0.059,1.765
"ABOLITIONIST",2,0.083,0.5,0.417,0.167,2.167
"ABOMINABLE",1.882,0.294,0.471,1.294,0.118,2.471
"ABOMINABLENESS",2.727,0.455,0.636,1.636,0.545,3.727
"ABOMINABLY",1.583,0.583,0.583,1.25,0.75,2.833
"ABOMINATE",1.174,0.478,0.696,1.304,0.478,2.522
"ABOMINATION",1.75,0.05,0.35,1.35,0.15,3.2
"ABORIGINAL",2.588,0.059,0.176,0.059,0.294,3.824
"ABORT",2.062,0,0.375,1.5,0,2.812
"ABORTED",1.632,0.526,0.895,1.263,0.579,3
"ABORTION",0.824,0.059,0.706,2.471,0.118,2.235
"ABORTIONIST",1.667,0,0.444,0.667,0,2.722
"ABORTIVE",1.571,0,0.143,0.5,0,2.214
"ABORTIVELY",1.267,0,0.267,0.867,0,1.733
"ABOUND",0.312,0.25,0.25,0.625,0.188,1.5
"ABOUNDING",0.562,0.375,0.5,0.625,0.062,1.688
"ABOUT",1.438,0,0.125,0.438,0,1.188
"ABOVE",0.294,0,0.471,0.824,0,3.235
"ABOVE ALL",0.55,0,0.55,1.05,0,1
"ABOVEBOARD",2.176,0.118,0.176,1.294,0.235,3.235
"ABOVEGROUND",1.15,0,0.75,0.45,0.45,4.4
"ABOVEMENTIONED",1.333,0.067,0.2,0.067,0.133,2.067
"ABRACADABRA",1.857,0,0,0.357,0,1.071
"ABRASION",0.706,0.176,3.294,1.647,0,2.412
"ABRASIVE",1.333,0.467,4.267,0.8,0.4,2
"ABRASIVELY",1.882,0,3.118,1.059,0,1.588
"ABRASIVENESS",2.05,0.35,3.65,1.55,0.05,2
"ABREAST",0.333,0,0.733,0.467,0,3.133
"ABRIDGE",1.417,0.25,0.333,0.333,0.25,1.75
"ABRIDGED",1.333,0,0.333,0.133,0,2.467
"ABRIDGMENT",0.846,0.231,0.538,0.538,0.308,2.154
"ABROAD",1.684,0.789,0.842,0.684,0.947,2.842
"ABRUPT",2.368,0,0.632,1.579,0,2
"ABRUPTLY",3.059,0.059,0.471,1,0.059,3.882
"ABRUPTNESS",3.278,0.056,1.056,1.444,0.056,3
"ABSCESS",0.15,0.45,2.85,2.6,1.05,4
"ABSCESSED",0.294,1.294,2.647,3.235,1.941,3.882
"ABSENCE",1.737,0.632,1.053,1.421,0.684,3.211
"ABSENT",1.486,0.459,0.865,0.919,0.324,3.243
"ABSENTEE",0.767,0,0.167,0.533,0,2.2
"ABSENTEEISM",0.867,0,0.067,0.267,0,1.8
"ABSENTLY",0.81,0.238,0.667,1.714,0.19,2.095
"ABSENTMINDED",1.824,0,0.176,2.235,0,2.647
"ABSENTMINDEDLY",1.438,0.312,0.312,1.75,0.25,1.438
"ABSENTMINDEDNESS",1.118,0,0.294,2.235,0.059,2
"ABSENTNESS",0.682,0.227,0.682,1.091,0.364,3.227
"ABSINTHE",0.077,4.231,0.846,2.462,2.538,2.846
"ABSOLUTE",1.562,0.062,0.688,1.625,0.062,1.812
"ABSOLUTELY",1.222,0.111,0.278,1.5,0.111,1.889
"ABSOLUTENESS",2.375,0.312,0.5,1.688,0.312,2.562
"ABSOLUTION",0.947,0.053,0.053,1.368,0.053,1.211
"ABSOLUTISM",1.308,0,0.077,0.769,0,0.692
"ABSOLUTIST",2.692,0.385,0.692,0.923,0.385,1.846
"ABSOLVABLE",1.733,0,0.133,1.267,0,2.133
"ABSOLVE",2.118,0,0.294,1.471,0,1.353
"ABSORB",0.333,0.194,2.194,0.917,0.056,3.389
"ABSORBABILITY",0.643,0.643,2.25,0.821,0.429,3.393
"ABSORBABLE",0.4,0.2,2.1,0.65,0.2,3.2
"ABSORBED",0.947,0.368,1.368,2.368,0.158,2.474
"ABSORBENCY",0.158,0.053,2.211,0.316,0.211,2.526
"ABSORBENT",0.5,0.125,2.812,0.312,0.188,3.375
"ABSORBER",1.188,0.25,2.625,0.812,0.438,3.375
"ABSORBING",0.65,0.4,1.6,1.35,0.2,2.5
"ABSORBINGLY",0.529,0.353,1.471,0.765,0.353,2.412
"ABSORPTION",0.714,0.714,2.286,2.071,0.357,3
"ABSORPTIVENESS",0.2,0.067,2.333,0.533,0.133,3.333
"ABSTAIN",0.688,0.5,0.625,2.125,0.312,1.125
"ABSTAINER",1.438,0.062,0.188,0.812,0.312,2.188
"ABSTENTION",1,0,0,0.3,0,1.3
"ABSTINENCE",1.263,0.263,0.684,2.105,0.263,1.579
"ABSTINENT",0.789,0.158,0.947,1.895,0.105,1.263
"ABSTINENTLY",1.267,0.533,0.933,1.2,0.467,2.2
"ABSTRACT",1.158,0.263,1.105,1.053,0.158,3.579
"ABSTRACTED",1.267,0,0.4,0.8,0,2.333
"ABSTRACTEDLY",1.188,0.25,0.438,0.938,0.062,2.75
"ABSTRACTEDNESS",1.941,0.118,0.765,1.118,0.176,3.059
"ABSTRACTION",1.375,0,0.312,0.688,0.062,2.5
"ABSTRACTIONISM",2.364,0.091,0.545,1,0.091,4
"ABSTRACTIONIST",0.583,0.167,0.417,0.75,0.417,2.917
"ABSTRACTIVE",1.688,0.312,0.75,0.875,0.312,2.938
"ABSTRACTLY",1.667,0.278,0.556,2.167,0.222,2.833
"ABSTRACTNESS",1.875,0.062,1,1.812,0.125,3.438
"ABSURD",3.562,0.125,0.312,1.375,0.125,2.75
"ABSURDITY",2.765,0.118,0.118,1.647,0.118,2.882
"ABSURDLY",2.556,0.333,0.389,1.667,0.5,2.389
"ABSURDNESS",2.667,0.067,0.467,1.6,0.133,3.4
"ABUNDANCE",0.824,0.647,1.882,0.412,0.412,4.353
"ABUNDANT",1.357,0.357,1.5,0.929,0.429,3.786
"ABUNDANTLY",1.227,0.227,1.136,0.727,0.273,3.545
"ABUSE",3,0.1,2.7,2.65,0.05,4.2
"ABUSER",3.111,0.444,3.5,2.111,0.833,3.056
"ABUSIVE",2.15,0,1.6,2.25,0,3.15
"ABUSIVELY",2.556,0,0.889,1.556,0,3.333
"ABUSIVENESS",3.053,0.053,2.316,1.947,0,3.421
"ABYSMALLY",2,0.3,0.5,1.533,0.433,2.333
"ABYSS",1.533,0.067,0.667,2.067,0.067,3.867
"ACADEMIA",1.778,0.111,0.167,0.889,0.111,2.444
"ACADEMIC",1.286,0.071,0.071,0.357,0.143,2.214
"ACADEMIC YEAR",1.167,0.306,0.778,1.111,0.333,1.889
"ACADEMICALLY",2.4,0.05,0.4,1.25,0.25,3
"ACADEMY",1.167,0.056,0.389,0.444,0.056,3.611
"ACCELERANT",0.579,0.053,0.737,1.053,1,2.211
"ACCELERATE",1.684,0,1.211,2.474,0.158,2.684
"ACCELERATED",1.5,0,1.056,2.611,0.167,2.667
"ACCELERATION",2.529,0.412,1.765,2.118,0.706,3.882
"ACCELERATIVE",1.933,0.267,0.733,1,0.2,3.133
"ACCELERATOR",2.25,0,1.25,1.65,0.05,2.5
"ACCELERATORY",1.9,0,1,2.5,0,2.8
"ACCELEROMETER",0.263,0,1.105,0.211,0,3.368
"ACCENT",4.053,0.474,0.211,0.211,0.263,0.737
"ACCENTUALLY",1.312,0,0.062,0,0,0.562
"ACCENTUATE",2.929,0.5,0.786,0.857,0.5,2.571
"ACCENTUATION",2,0.312,0.438,0.375,0.188,1.625
"ACCEPT",2.529,0.059,1.294,1.765,0.235,2.765
"ACCEPTABILITY",1.056,0,0.611,1.944,0.111,1.667
"ACCEPTABLE",2.163,1.279,1.209,2.419,1.279,2.907
"ACCEPTABLENESS",1.947,0.421,1.053,1.579,0.632,3.263
"ACCEPTABLY",1.944,0.444,0.833,1.111,0.222,2.222
"ACCEPTANCE",2.941,0.235,1.118,2.882,0.353,2.882
"ACCEPTANT",2.15,0.25,0.75,1.05,0.05,2.4
"ACCEPTED",2.2,0.4,0.85,3,0.35,2.75
"ACCEPTOR",1.8,0,0.533,0.267,0,3.067
"ACCESS",1.1,0.45,1.25,0.75,0.35,2.35
"ACCESSIBILITY",1.062,0,1.125,0.625,0,3
"ACCESSIBLE",0.579,0.316,0.737,0.579,0.158,3.211
"ACCESSIBLY",0.588,0,1.059,0.412,0,3.529
"ACCESSORIZE",0.778,0.167,2.056,0.333,0.111,3.722
