concept,domain,subtype,source_dataset,notes,polysemy_risk,image_source,image_quality_flag,human_anchor_available
aardvark,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
abacus,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
accordion,sensory,musical instrument,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
acorn,sensory,fruit,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
air_conditioner,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
air_mattress,sensory,furniture,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
air_pump,sensory,tool,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
airbag,sensory,part of car,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
airboat,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
aircraft_carrier,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
airplane,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
album,sensory,home decor,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
alligator,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
almond,sensory,food,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
aloe,sensory,plant,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
alpaca,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
altar,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
aluminum_foil,sensory,#N/A,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
amber,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ambulance,sensory,vehicle,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
amplifier,sensory,electronic device,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
anchor,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ankle,sensory,body part,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
anklet,sensory,decoration,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
ant,sensory,"animal, insect",things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
anteater,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
antelope,sensory,animal,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
antenna,sensory,Noun,things,THINGS archive exact overlap with local image support,low,things_archive,good,yes
