concept,subtype,image_index,image_id,image_role,image_path
aardvark,animal,1,aardvark_001,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_01b.jpg
aardvark,animal,2,aardvark_002,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_02s.jpg
aardvark,animal,3,aardvark_003,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_03s.jpg
aardvark,animal,4,aardvark_004,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_04s.jpg
aardvark,animal,5,aardvark_005,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_05s.jpg
aardvark,animal,6,aardvark_006,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_06s.jpg
aardvark,animal,7,aardvark_007,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_07s.jpg
aardvark,animal,8,aardvark_008,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_08s.jpg
aardvark,animal,9,aardvark_009,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_09s.jpg
aardvark,animal,10,aardvark_010,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_10s.jpg
aardvark,animal,11,aardvark_011,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_11s.jpg
aardvark,animal,12,aardvark_012,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_12s.jpg
aardvark,animal,13,aardvark_013,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_13s.jpg
aardvark,animal,14,aardvark_014,things_archive,THINGS-database/osfstorage/object_images/aardvark/aardvark_14s.jpg
abacus,home decor,1,abacus_001,things_archive,THINGS-database/osfstorage/object_images/abacus/abacus_01b.jpg
abacus,home decor,2,abacus_002,things_archive,THINGS-database/osfstorage/object_images/abacus/abacus_02s.jpg
abacus,home decor,3,abacus_003,things_archive,THINGS-database/osfstorage/object_images/abacus/abacus_03s.jpg
abacus,home decor,4,abacus_004,things_archive,THINGS-database/osfstorage/object_images/abacus/abacus_04s.jpg
abacus,home decor,5,abacus_005,things_archive,THINGS-database/osfstorage/object_images/abacus/abacus_05s.jpg
abacus,home decor,6,abacus_006,things_archive,THINGS-database/osfstorage/object_images/abacus/abacus_06s.jpg
abacus,home decor,7,abacus_007,things_archive,THINGS-database/osfstorage/object_images/abacus/abacus_07s.jpg
abacus,home decor,8,abacus_008,things_archive,THINGS-database/osfstorage/object_images/abacus/abacus_08s.jpg
abacus,home decor,9,abacus_009,things_archive,THINGS-database/osfstorage/object_images/abacus/abacus_09s.jpg
