concept,subtype,matched_image,degraded_image,status,source_kind,notes
aardvark,animal,data/images/things_max/aardvark.jpg,data/images/things_max/degraded/aardvark.png,ready,things_archive,THINGS archive image and degraded derivative available
abacus,home decor,data/images/things_max/abacus.jpg,data/images/things_max/degraded/abacus.png,ready,things_archive,THINGS archive image and degraded derivative available
accordion,musical instrument,data/images/things_max/accordion.jpg,data/images/things_max/degraded/accordion.png,ready,things_archive,THINGS archive image and degraded derivative available
acorn,fruit,data/images/things_max/acorn.jpg,data/images/things_max/degraded/acorn.png,ready,things_archive,THINGS archive image and degraded derivative available
air_conditioner,electronic device,data/images/things_max/air_conditioner.jpg,data/images/things_max/degraded/air_conditioner.png,ready,things_archive,THINGS archive image and degraded derivative available
air_mattress,furniture,data/images/things_max/air_mattress.jpg,data/images/things_max/degraded/air_mattress.png,ready,things_archive,THINGS archive image and degraded derivative available
air_pump,tool,data/images/things_max/air_pump.jpg,data/images/things_max/degraded/air_pump.png,ready,things_archive,THINGS archive image and degraded derivative available
airbag,part of car,data/images/things_max/airbag.jpg,data/images/things_max/degraded/airbag.png,ready,things_archive,THINGS archive image and degraded derivative available
airboat,vehicle,data/images/things_max/airboat.jpg,data/images/things_max/degraded/airboat.png,ready,things_archive,THINGS archive image and degraded derivative available
aircraft_carrier,vehicle,data/images/things_max/aircraft_carrier.jpg,data/images/things_max/degraded/aircraft_carrier.png,ready,things_archive,THINGS archive image and degraded derivative available
airplane,vehicle,data/images/things_max/airplane.jpg,data/images/things_max/degraded/airplane.png,ready,things_archive,THINGS archive image and degraded derivative available
album,home decor,data/images/things_max/album.jpg,data/images/things_max/degraded/album.png,ready,things_archive,THINGS archive image and degraded derivative available
alligator,animal,data/images/things_max/alligator.jpg,data/images/things_max/degraded/alligator.png,ready,things_archive,THINGS archive image and degraded derivative available
almond,food,data/images/things_max/almond.jpg,data/images/things_max/degraded/almond.png,ready,things_archive,THINGS archive image and degraded derivative available
aloe,plant,data/images/things_max/aloe.jpg,data/images/things_max/degraded/aloe.png,ready,things_archive,THINGS archive image and degraded derivative available
alpaca,animal,data/images/things_max/alpaca.jpg,data/images/things_max/degraded/alpaca.png,ready,things_archive,THINGS archive image and degraded derivative available
altar,Noun,data/images/things_max/altar.jpg,data/images/things_max/degraded/altar.png,ready,things_archive,THINGS archive image and degraded derivative available
aluminum_foil,#N/A,data/images/things_max/aluminum_foil.jpg,data/images/things_max/degraded/aluminum_foil.png,ready,things_archive,THINGS archive image and degraded derivative available
amber,Noun,data/images/things_max/amber.jpg,data/images/things_max/degraded/amber.png,ready,things_archive,THINGS archive image and degraded derivative available
ambulance,vehicle,data/images/things_max/ambulance.jpg,data/images/things_max/degraded/ambulance.png,ready,things_archive,THINGS archive image and degraded derivative available
amplifier,electronic device,data/images/things_max/amplifier.jpg,data/images/things_max/degraded/amplifier.png,ready,things_archive,THINGS archive image and degraded derivative available
anchor,Noun,data/images/things_max/anchor.jpg,data/images/things_max/degraded/anchor.png,ready,things_archive,THINGS archive image and degraded derivative available
ankle,body part,data/images/things_max/ankle.jpg,data/images/things_max/degraded/ankle.png,ready,things_archive,THINGS archive image and degraded derivative available
anklet,decoration,data/images/things_max/anklet.jpg,data/images/things_max/degraded/anklet.png,ready,things_archive,THINGS archive image and degraded derivative available
ant,"animal, insect",data/images/things_max/ant.jpg,data/images/things_max/degraded/ant.png,ready,things_archive,THINGS archive image and degraded derivative available
anteater,animal,data/images/things_max/anteater.jpg,data/images/things_max/degraded/anteater.png,ready,things_archive,THINGS archive image and degraded derivative available
antelope,animal,data/images/things_max/antelope.jpg,data/images/things_max/degraded/antelope.png,ready,things_archive,THINGS archive image and degraded derivative available
antenna,Noun,data/images/things_max/antenna.jpg,data/images/things_max/degraded/antenna.png,ready,things_archive,THINGS archive image and degraded derivative available
anvil,tool,data/images/things_max/anvil.jpg,data/images/things_max/degraded/anvil.png,ready,things_archive,THINGS archive image and degraded derivative available
appetizer,food,data/images/things_max/appetizer.jpg,data/images/things_max/degraded/appetizer.png,ready,things_archive,THINGS archive image and degraded derivative available
apple,"food, fruit",data/images/things_max/apple.jpg,data/images/things_max/degraded/apple.png,ready,things_archive,THINGS archive image and degraded derivative available
apple_tree,plant,data/images/things_max/apple_tree.jpg,data/images/things_max/degraded/apple_tree.png,ready,things_archive,THINGS archive image and degraded derivative available
applesauce,food,data/images/things_max/applesauce.jpg,data/images/things_max/degraded/applesauce.png,ready,things_archive,THINGS archive image and degraded derivative available
apron,clothing,data/images/things_max/apron.jpg,data/images/things_max/degraded/apron.png,ready,things_archive,THINGS archive image and degraded derivative available
aquarium,"home decor, container",data/images/things_max/aquarium.jpg,data/images/things_max/degraded/aquarium.png,ready,things_archive,THINGS archive image and degraded derivative available
arch,Noun,data/images/things_max/arch.jpg,data/images/things_max/degraded/arch.png,ready,things_archive,THINGS archive image and degraded derivative available
arm,body part,data/images/things_max/arm.jpg,data/images/things_max/degraded/arm.png,ready,things_archive,THINGS archive image and degraded derivative available
armor,clothing,data/images/things_max/armor.jpg,data/images/things_max/degraded/armor.png,ready,things_archive,THINGS archive image and degraded derivative available
arrow,weapon,data/images/things_max/arrow.jpg,data/images/things_max/degraded/arrow.png,ready,things_archive,THINGS archive image and degraded derivative available
artichoke,"plant, food, vegetable",data/images/things_max/artichoke.jpg,data/images/things_max/degraded/artichoke.png,ready,things_archive,THINGS archive image and degraded derivative available
arugula,"plant, food, vegetable",data/images/things_max/arugula.jpg,data/images/things_max/degraded/arugula.png,ready,things_archive,THINGS archive image and degraded derivative available
ashtray,container,data/images/things_max/ashtray.jpg,data/images/things_max/degraded/ashtray.png,ready,things_archive,THINGS archive image and degraded derivative available
asparagus,"plant, food, vegetable",data/images/things_max/asparagus.jpg,data/images/things_max/degraded/asparagus.png,ready,things_archive,THINGS archive image and degraded derivative available
avocado,"food, fruit",data/images/things_max/avocado.jpg,data/images/things_max/degraded/avocado.png,ready,things_archive,THINGS archive image and degraded derivative available
awning,Noun,data/images/things_max/awning.jpg,data/images/things_max/degraded/awning.png,ready,things_archive,THINGS archive image and degraded derivative available
axe,"weapon, tool",data/images/things_max/axe.jpg,data/images/things_max/degraded/axe.png,ready,things_archive,THINGS archive image and degraded derivative available
baby,Noun,data/images/things_max/baby.jpg,data/images/things_max/degraded/baby.png,ready,things_archive,THINGS archive image and degraded derivative available
backdrop,Noun,data/images/things_max/backdrop.jpg,data/images/things_max/degraded/backdrop.png,ready,things_archive,THINGS archive image and degraded derivative available
backgammon,Noun,data/images/things_max/backgammon.jpg,data/images/things_max/degraded/backgammon.png,ready,things_archive,THINGS archive image and degraded derivative available
backpack,container,data/images/things_max/backpack.jpg,data/images/things_max/degraded/backpack.png,ready,things_archive,THINGS archive image and degraded derivative available
backscratcher,tool,data/images/things_max/backscratcher.jpg,data/images/things_max/degraded/backscratcher.png,ready,things_archive,THINGS archive image and degraded derivative available
bacon,food,data/images/things_max/bacon.jpg,data/images/things_max/degraded/bacon.png,ready,things_archive,THINGS archive image and degraded derivative available
badge,Noun,data/images/things_max/badge.jpg,data/images/things_max/degraded/badge.png,ready,things_archive,THINGS archive image and degraded derivative available
badger,animal,data/images/things_max/badger.jpg,data/images/things_max/degraded/badger.png,ready,things_archive,THINGS archive image and degraded derivative available
bag,container,data/images/things_max/bag.jpg,data/images/things_max/degraded/bag.png,ready,things_archive,THINGS archive image and degraded derivative available
bagel,food,data/images/things_max/bagel.jpg,data/images/things_max/degraded/bagel.png,ready,things_archive,THINGS archive image and degraded derivative available
bagpipe,musical instrument,data/images/things_max/bagpipe.jpg,data/images/things_max/degraded/bagpipe.png,ready,things_archive,THINGS archive image and degraded derivative available
baklava,"food, dessert",data/images/things_max/baklava.jpg,data/images/things_max/degraded/baklava.png,ready,things_archive,THINGS archive image and degraded derivative available
balance_beam,sports equipment,data/images/things_max/balance_beam.jpg,data/images/things_max/degraded/balance_beam.png,ready,things_archive,THINGS archive image and degraded derivative available
ball,"toy, sports equipment",data/images/things_max/ball.jpg,data/images/things_max/degraded/ball.png,ready,things_archive,THINGS archive image and degraded derivative available
balloon,toy,data/images/things_max/balloon.jpg,data/images/things_max/degraded/balloon.png,ready,things_archive,THINGS archive image and degraded derivative available
ballot_box,container,data/images/things_max/ballot_box.jpg,data/images/things_max/degraded/ballot_box.png,ready,things_archive,THINGS archive image and degraded derivative available
bamboo,plant,data/images/things_max/bamboo.jpg,data/images/things_max/degraded/bamboo.png,ready,things_archive,THINGS archive image and degraded derivative available
banana,"food, fruit",data/images/things_max/banana.jpg,data/images/things_max/degraded/banana.png,ready,things_archive,THINGS archive image and degraded derivative available
banana_peel,#N/A,data/images/things_max/banana_peel.jpg,data/images/things_max/degraded/banana_peel.png,ready,things_archive,THINGS archive image and degraded derivative available
banana_split,"food, dessert",data/images/things_max/banana_split.jpg,data/images/things_max/degraded/banana_split.png,ready,things_archive,THINGS archive image and degraded derivative available
bandage,medical equipment,data/images/things_max/bandage.jpg,data/images/things_max/degraded/bandage.png,ready,things_archive,THINGS archive image and degraded derivative available
bandanna,"clothing, clothing accessory",data/images/things_max/bandanna.jpg,data/images/things_max/degraded/bandanna.png,ready,things_archive,THINGS archive image and degraded derivative available
banjo,musical instrument,data/images/things_max/banjo.jpg,data/images/things_max/degraded/banjo.png,ready,things_archive,THINGS archive image and degraded derivative available
bank,container,data/images/things_max/bank.jpg,data/images/things_max/degraded/bank.png,ready,things_archive,THINGS archive image and degraded derivative available
banner,decoration,data/images/things_max/banner.jpg,data/images/things_max/degraded/banner.png,ready,things_archive,THINGS archive image and degraded derivative available
barbed_wire,#N/A,data/images/things_max/barbed_wire.jpg,data/images/things_max/degraded/barbed_wire.png,ready,things_archive,THINGS archive image and degraded derivative available
barbell,sports equipment,data/images/things_max/barbell.jpg,data/images/things_max/degraded/barbell.png,ready,things_archive,THINGS archive image and degraded derivative available
barcode,#N/A,data/images/things_max/barcode.jpg,data/images/things_max/degraded/barcode.png,ready,things_archive,THINGS archive image and degraded derivative available
bark,Noun,data/images/things_max/bark.jpg,data/images/things_max/degraded/bark.png,ready,things_archive,THINGS archive image and degraded derivative available
barnacle,animal,data/images/things_max/barnacle.jpg,data/images/things_max/degraded/barnacle.png,ready,things_archive,THINGS archive image and degraded derivative available
barrel,container,data/images/things_max/barrel.jpg,data/images/things_max/degraded/barrel.png,ready,things_archive,THINGS archive image and degraded derivative available
barrette,Noun,data/images/things_max/barrette.jpg,data/images/things_max/degraded/barrette.png,ready,things_archive,THINGS archive image and degraded derivative available
baseball,sports equipment,data/images/things_max/baseball.jpg,data/images/things_max/degraded/baseball.png,ready,things_archive,THINGS archive image and degraded derivative available
baseball_bat,"weapon, sports equipment",data/images/things_max/baseball_bat.jpg,data/images/things_max/degraded/baseball_bat.png,ready,things_archive,THINGS archive image and degraded derivative available
baseball_glove,sports equipment,data/images/things_max/baseball_glove.jpg,data/images/things_max/degraded/baseball_glove.png,ready,things_archive,THINGS archive image and degraded derivative available
basil,"plant, food",data/images/things_max/basil.jpg,data/images/things_max/degraded/basil.png,ready,things_archive,THINGS archive image and degraded derivative available
basket,container,data/images/things_max/basket.jpg,data/images/things_max/degraded/basket.png,ready,things_archive,THINGS archive image and degraded derivative available
basketball,sports equipment,data/images/things_max/basketball.jpg,data/images/things_max/degraded/basketball.png,ready,things_archive,THINGS archive image and degraded derivative available
basketball_hoop,sports equipment,data/images/things_max/basketball_hoop.jpg,data/images/things_max/degraded/basketball_hoop.png,ready,things_archive,THINGS archive image and degraded derivative available
bassinet,furniture,data/images/things_max/bassinet.jpg,data/images/things_max/degraded/bassinet.png,ready,things_archive,THINGS archive image and degraded derivative available
bassoon,musical instrument,data/images/things_max/bassoon.jpg,data/images/things_max/degraded/bassoon.png,ready,things_archive,THINGS archive image and degraded derivative available
bat1,animal,data/images/things_max/bat1.jpg,data/images/things_max/degraded/bat1.png,ready,things_archive,THINGS archive image and degraded derivative available
bat2,"weapon, sports equipment",data/images/things_max/bat2.jpg,data/images/things_max/degraded/bat2.png,ready,things_archive,THINGS archive image and degraded derivative available
bathmat,Noun,data/images/things_max/bathmat.jpg,data/images/things_max/degraded/bathmat.png,ready,things_archive,THINGS archive image and degraded derivative available
bathrobe,clothing,data/images/things_max/bathrobe.jpg,data/images/things_max/degraded/bathrobe.png,ready,things_archive,THINGS archive image and degraded derivative available
bathtub,container,data/images/things_max/bathtub.jpg,data/images/things_max/degraded/bathtub.png,ready,things_archive,THINGS archive image and degraded derivative available
baton1,Noun,data/images/things_max/baton1.jpg,data/images/things_max/degraded/baton1.png,ready,things_archive,THINGS archive image and degraded derivative available
baton2,weapon,data/images/things_max/baton2.jpg,data/images/things_max/degraded/baton2.png,ready,things_archive,THINGS archive image and degraded derivative available
baton3,sports equipment,data/images/things_max/baton3.jpg,data/images/things_max/degraded/baton3.png,ready,things_archive,THINGS archive image and degraded derivative available
baton4,sports equipment,data/images/things_max/baton4.jpg,data/images/things_max/degraded/baton4.png,ready,things_archive,THINGS archive image and degraded derivative available
batter,food,data/images/things_max/batter.jpg,data/images/things_max/degraded/batter.png,ready,things_archive,THINGS archive image and degraded derivative available
battery,Noun,data/images/things_max/battery.jpg,data/images/things_max/degraded/battery.png,ready,things_archive,THINGS archive image and degraded derivative available
bazooka,weapon,data/images/things_max/bazooka.jpg,data/images/things_max/degraded/bazooka.png,ready,things_archive,THINGS archive image and degraded derivative available
beachball,"toy, sports equipment",data/images/things_max/beachball.jpg,data/images/things_max/degraded/beachball.png,ready,things_archive,THINGS archive image and degraded derivative available
bead,decoration,data/images/things_max/bead.jpg,data/images/things_max/degraded/bead.png,ready,things_archive,THINGS archive image and degraded derivative available
beaker,container,data/images/things_max/beaker.jpg,data/images/things_max/degraded/beaker.png,ready,things_archive,THINGS archive image and degraded derivative available
bean,food,data/images/things_max/bean.jpg,data/images/things_max/degraded/bean.png,ready,things_archive,THINGS archive image and degraded derivative available
beanbag,furniture,data/images/things_max/beanbag.jpg,data/images/things_max/degraded/beanbag.png,ready,things_archive,THINGS archive image and degraded derivative available
beanie,clothing,data/images/things_max/beanie.jpg,data/images/things_max/degraded/beanie.png,ready,things_archive,THINGS archive image and degraded derivative available
bear,animal,data/images/things_max/bear.jpg,data/images/things_max/degraded/bear.png,ready,things_archive,THINGS archive image and degraded derivative available
beard,body part,data/images/things_max/beard.jpg,data/images/things_max/degraded/beard.png,ready,things_archive,THINGS archive image and degraded derivative available
beaver,animal,data/images/things_max/beaver.jpg,data/images/things_max/degraded/beaver.png,ready,things_archive,THINGS archive image and degraded derivative available
bed,furniture,data/images/things_max/bed.jpg,data/images/things_max/degraded/bed.png,ready,things_archive,THINGS archive image and degraded derivative available
bedpan,"medical equipment, container",data/images/things_max/bedpan.jpg,data/images/things_max/degraded/bedpan.png,ready,things_archive,THINGS archive image and degraded derivative available
bedpost,furniture,data/images/things_max/bedpost.jpg,data/images/things_max/degraded/bedpost.png,ready,things_archive,THINGS archive image and degraded derivative available
bee,"animal, insect",data/images/things_max/bee.jpg,data/images/things_max/degraded/bee.png,ready,things_archive,THINGS archive image and degraded derivative available
beehive,Noun,data/images/things_max/beehive.jpg,data/images/things_max/degraded/beehive.png,ready,things_archive,THINGS archive image and degraded derivative available
beer,drink,data/images/things_max/beer.jpg,data/images/things_max/degraded/beer.png,ready,things_archive,THINGS archive image and degraded derivative available
beet,"food, vegetable",data/images/things_max/beet.jpg,data/images/things_max/degraded/beet.png,ready,things_archive,THINGS archive image and degraded derivative available
beetle,"animal, insect",data/images/things_max/beetle.jpg,data/images/things_max/degraded/beetle.png,ready,things_archive,THINGS archive image and degraded derivative available
bell,musical instrument,data/images/things_max/bell.jpg,data/images/things_max/degraded/bell.png,ready,things_archive,THINGS archive image and degraded derivative available
bell_pepper,"food, vegetable",data/images/things_max/bell_pepper.jpg,data/images/things_max/degraded/bell_pepper.png,ready,things_archive,THINGS archive image and degraded derivative available
belt,"clothing, clothing accessory",data/images/things_max/belt.jpg,data/images/things_max/degraded/belt.png,ready,things_archive,THINGS archive image and degraded derivative available
belt_buckle,clothing accessory,data/images/things_max/belt_buckle.jpg,data/images/things_max/degraded/belt_buckle.png,ready,things_archive,THINGS archive image and degraded derivative available
bench,furniture,data/images/things_max/bench.jpg,data/images/things_max/degraded/bench.png,ready,things_archive,THINGS archive image and degraded derivative available
berry,"food, fruit",data/images/things_max/berry.jpg,data/images/things_max/degraded/berry.png,ready,things_archive,THINGS archive image and degraded derivative available
bib,Noun,data/images/things_max/bib.jpg,data/images/things_max/degraded/bib.png,ready,things_archive,THINGS archive image and degraded derivative available
bike,vehicle,data/images/things_max/bike.jpg,data/images/things_max/degraded/bike.png,ready,things_archive,THINGS archive image and degraded derivative available
bikini,clothing,data/images/things_max/bikini.jpg,data/images/things_max/degraded/bikini.png,ready,things_archive,THINGS archive image and degraded derivative available
bin,container,data/images/things_max/bin.jpg,data/images/things_max/degraded/bin.png,ready,things_archive,THINGS archive image and degraded derivative available
binder,office supply,data/images/things_max/binder.jpg,data/images/things_max/degraded/binder.png,ready,things_archive,THINGS archive image and degraded derivative available
binoculars,Noun,data/images/things_max/binoculars.jpg,data/images/things_max/degraded/binoculars.png,ready,things_archive,THINGS archive image and degraded derivative available
bird,"animal, bird",data/images/things_max/bird.jpg,data/images/things_max/degraded/bird.png,ready,things_archive,THINGS archive image and degraded derivative available
birdbath,"home decor, container",data/images/things_max/birdbath.jpg,data/images/things_max/degraded/birdbath.png,ready,things_archive,THINGS archive image and degraded derivative available
birdcage,"home decor, container",data/images/things_max/birdcage.jpg,data/images/things_max/degraded/birdcage.png,ready,things_archive,THINGS archive image and degraded derivative available
birdhouse,home decor,data/images/things_max/birdhouse.jpg,data/images/things_max/degraded/birdhouse.png,ready,things_archive,THINGS archive image and degraded derivative available
birthday_cake,"food, dessert",data/images/things_max/birthday_cake.jpg,data/images/things_max/degraded/birthday_cake.png,ready,things_archive,THINGS archive image and degraded derivative available
biscuit,food,data/images/things_max/biscuit.jpg,data/images/things_max/degraded/biscuit.png,ready,things_archive,THINGS archive image and degraded derivative available
bison,animal,data/images/things_max/bison.jpg,data/images/things_max/degraded/bison.png,ready,things_archive,THINGS archive image and degraded derivative available
blackberry,"food, fruit",data/images/things_max/blackberry.jpg,data/images/things_max/degraded/blackberry.png,ready,things_archive,THINGS archive image and degraded derivative available
blanket,Noun,data/images/things_max/blanket.jpg,data/images/things_max/degraded/blanket.png,ready,things_archive,THINGS archive image and degraded derivative available
blazer,clothing,data/images/things_max/blazer.jpg,data/images/things_max/degraded/blazer.png,ready,things_archive,THINGS archive image and degraded derivative available
blender,"electronic device, kitchen appliance",data/images/things_max/blender.jpg,data/images/things_max/degraded/blender.png,ready,things_archive,THINGS archive image and degraded derivative available
blimp,vehicle,data/images/things_max/blimp.jpg,data/images/things_max/degraded/blimp.png,ready,things_archive,THINGS archive image and degraded derivative available
blind,Adjective,data/images/things_max/blind.jpg,data/images/things_max/degraded/blind.png,ready,things_archive,THINGS archive image and degraded derivative available
blinder,Adjective,data/images/things_max/blinder.jpg,data/images/things_max/degraded/blinder.png,ready,things_archive,THINGS archive image and degraded derivative available
blindfold,Noun,data/images/things_max/blindfold.jpg,data/images/things_max/degraded/blindfold.png,ready,things_archive,THINGS archive image and degraded derivative available
block,Noun,data/images/things_max/block.jpg,data/images/things_max/degraded/block.png,ready,things_archive,THINGS archive image and degraded derivative available
