concept,status,things_word,things_unique_id,archive_member,local_image,notes
aardvark,covered,aardvark,aardvark,THINGS-database/osfstorage/object_images/aardvark/aardvark_01b.jpg,data/images/things_max/aardvark.jpg,selected THINGS archive image via filesystem
abacus,covered,abacus,abacus,THINGS-database/osfstorage/object_images/abacus/abacus_01b.jpg,data/images/things_max/abacus.jpg,selected THINGS archive image via filesystem
accordion,covered,accordion,accordion,THINGS-database/osfstorage/object_images/accordion/accordion_01b.jpg,data/images/things_max/accordion.jpg,selected THINGS archive image via filesystem
acorn,covered,acorn,acorn,THINGS-database/osfstorage/object_images/acorn/acorn_01b.jpg,data/images/things_max/acorn.jpg,selected THINGS archive image via filesystem
air_conditioner,covered,air conditioner,air_conditioner,THINGS-database/osfstorage/object_images/air_conditioner/air_conditioner_01b.jpg,data/images/things_max/air_conditioner.jpg,selected THINGS archive image via filesystem
air_mattress,covered,air mattress,air_mattress,THINGS-database/osfstorage/object_images/air_mattress/air_mattress_01b.jpg,data/images/things_max/air_mattress.jpg,selected THINGS archive image via filesystem
air_pump,covered,air pump,air_pump,THINGS-database/osfstorage/object_images/air_pump/air_pump_01s.jpg,data/images/things_max/air_pump.jpg,selected THINGS archive image via filesystem
airbag,covered,airbag,airbag,THINGS-database/osfstorage/object_images/airbag/airbag_01b.jpg,data/images/things_max/airbag.jpg,selected THINGS archive image via filesystem
airboat,covered,airboat,airboat,THINGS-database/osfstorage/object_images/airboat/airboat_01s.jpg,data/images/things_max/airboat.jpg,selected THINGS archive image via filesystem
aircraft_carrier,covered,aircraft carrier,aircraft_carrier,THINGS-database/osfstorage/object_images/aircraft_carrier/aircraft_carrier_01b.jpg,data/images/things_max/aircraft_carrier.jpg,selected THINGS archive image via filesystem
airplane,covered,airplane,airplane,THINGS-database/osfstorage/object_images/airplane/airplane_01b.jpg,data/images/things_max/airplane.jpg,selected THINGS archive image via filesystem
album,covered,album,album,THINGS-database/osfstorage/object_images/album/album_01s.jpg,data/images/things_max/album.jpg,selected THINGS archive image via filesystem
alligator,covered,alligator,alligator,THINGS-database/osfstorage/object_images/alligator/alligator_01b.jpg,data/images/things_max/alligator.jpg,selected THINGS archive image via filesystem
