family,priority,model_id,status,config_loaded,processor_loaded,hidden_state_access,forward_pass,device,dtype,stage,load_seconds,forward_seconds,total_seconds,detail
text,primary,Qwen/Qwen3.5-9B,ok,True,True,True,True,cuda:0,torch.bfloat16,forward_pass_ok,19.3145,0.9787,20.2947,text hidden states accessible
text,primary,mistralai/Mistral-Small-24B-Instruct-2501,ok,True,True,True,True,cuda:0,torch.bfloat16,forward_pass_ok,66.2482,7.9652,74.2351,text hidden states accessible
text,fallback,Qwen/Qwen3.5-0.8B,ok,True,True,True,True,cuda:0,torch.bfloat16,forward_pass_ok,9.8437,0.592,10.4369,text hidden states accessible
text,fallback,mistralai/Mistral-7B-Instruct-v0.3,ok,True,True,True,True,cuda:0,torch.bfloat16,forward_pass_ok,29.4497,0.3099,29.7609,text hidden states accessible
multimodal,primary,Qwen/Qwen3-VL-8B-Instruct,oom_or_device_failure,True,True,False,False,,,model_loaded,37.6701,0.0,39.6467,"OutOfMemoryError: CUDA out of memory. Tried to allocate 28.66 GiB. GPU 0 has a total capacity of 44.43 GiB of which 26.67 GiB is free. Including non-PyTorch memory, this process has 17.71 GiB memory in use. Of the allocated memory 17.23 GiB is allocated by PyTorch, and 172.95 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
multimodal,primary,google/gemma-4-E4B-it,ok,True,True,True,True,cuda:0,torch.bfloat16,forward_pass_ok,33.1745,0.917,34.3632,multimodal hidden states accessible via Gemma4Processor
multimodal,fallback,Qwen/Qwen3-VL-2B-Thinking,oom_or_device_failure,True,True,False,False,,,model_loaded,16.394,0.0,17.0517,"OutOfMemoryError: CUDA out of memory. Tried to allocate 28.66 GiB. GPU 0 has a total capacity of 44.43 GiB of which 10.59 GiB is free. Including non-PyTorch memory, this process has 33.80 GiB memory in use. Of the allocated memory 33.42 GiB is allocated by PyTorch, and 63.01 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
multimodal,fallback,google/gemma-4-E2B-it,ok,True,True,True,True,cuda:0,torch.bfloat16,forward_pass_ok,23.7799,0.8016,24.8502,multimodal hidden states accessible via Gemma4Processor
anchor,primary,google/siglip2-so400m-patch16-384,ok,True,True,True,True,cuda:0,torch.bfloat16,forward_pass_ok,13.556,0.2488,13.8291,anchor outputs accessible via last_hidden_state_fallback
anchor,fallback,google/siglip2-base-patch16-224,ok,True,True,True,True,cuda:0,torch.bfloat16,forward_pass_ok,16.8234,0.4496,17.3912,anchor outputs accessible via last_hidden_state_fallback
