model,layer,domain,condition,participation_ratio,num_concepts,feature_dim,concept_subset
Qwen/Qwen3.5-9B,0,sensory,T_neutral,727.9799753530986,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,1,sensory,T_neutral,106.61807714027604,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,2,sensory,T_neutral,147.86056847555506,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,3,sensory,T_neutral,240.10994505408806,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,4,sensory,T_neutral,322.43721823943355,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,5,sensory,T_neutral,273.75317687923484,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,6,sensory,T_neutral,247.97404989624025,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,7,sensory,T_neutral,174.2583589866597,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,8,sensory,T_neutral,166.8246959648801,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,9,sensory,T_neutral,146.34588062393047,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,10,sensory,T_neutral,132.62964482963463,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,11,sensory,T_neutral,106.96074465123606,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,12,sensory,T_neutral,101.63463130182647,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,13,sensory,T_neutral,87.43198967476208,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,14,sensory,T_neutral,80.17660393867807,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,15,sensory,T_neutral,68.83002033357893,1854,4096,data/concepts/things_max_1854_concepts.csv
