anchor_name,condition,layer,summary_type,rsa_score,value
THINGS behavioral similarity,T_neutral,0,trajectory,0.10938287593656183,
controlled_THINGS,T_neutral,0,trajectory,0.10297731497149085,
SigLIP2,T_neutral,0,trajectory,0.07866227105718798,
lancaster_perceptual,T_neutral,0,trajectory,0.08904435935501788,
THINGS behavioral similarity,T_neutral,1,trajectory,0.03855780527693242,
controlled_THINGS,T_neutral,1,trajectory,0.04249410310485506,
SigLIP2,T_neutral,1,trajectory,0.04766423532370831,
lancaster_perceptual,T_neutral,1,trajectory,0.019489738503634887,
THINGS behavioral similarity,T_neutral,2,trajectory,0.04625206459490369,
controlled_THINGS,T_neutral,2,trajectory,0.04833003746670374,
SigLIP2,T_neutral,2,trajectory,0.025936657665956563,
lancaster_perceptual,T_neutral,2,trajectory,0.019680237743821535,
THINGS behavioral similarity,T_neutral,3,trajectory,0.04807811599766298,
controlled_THINGS,T_neutral,3,trajectory,0.049368259921566265,
SigLIP2,T_neutral,3,trajectory,0.024348353525984696,
lancaster_perceptual,T_neutral,3,trajectory,0.007099360659294691,
THINGS behavioral similarity,T_neutral,4,trajectory,0.07773056988947123,
controlled_THINGS,T_neutral,4,trajectory,0.07874640921769821,
SigLIP2,T_neutral,4,trajectory,0.0380978454688942,
lancaster_perceptual,T_neutral,4,trajectory,0.031624845379072626,
THINGS behavioral similarity,T_neutral,5,trajectory,0.08049261004379644,
controlled_THINGS,T_neutral,5,trajectory,0.07881433547166661,
SigLIP2,T_neutral,5,trajectory,0.03569618710402134,
lancaster_perceptual,T_neutral,5,trajectory,0.010046026490707877,
THINGS behavioral similarity,T_neutral,6,trajectory,0.11395219819144678,
controlled_THINGS,T_neutral,6,trajectory,0.11190221062688971,
SigLIP2,T_neutral,6,trajectory,0.05511647128959573,
lancaster_perceptual,T_neutral,6,trajectory,0.05179958104479221,
THINGS behavioral similarity,T_neutral,7,trajectory,0.125872180643132,
controlled_THINGS,T_neutral,7,trajectory,0.12213091025041814,
SigLIP2,T_neutral,7,trajectory,0.06290347213504104,
lancaster_perceptual,T_neutral,7,trajectory,0.05577399332861158,
THINGS behavioral similarity,T_neutral,8,trajectory,0.13362814032534845,
controlled_THINGS,T_neutral,8,trajectory,0.12752741812965548,
SigLIP2,T_neutral,8,trajectory,0.06072841719839659,
lancaster_perceptual,T_neutral,8,trajectory,0.08131518494065187,
THINGS behavioral similarity,T_neutral,9,trajectory,0.156256533271961,
controlled_THINGS,T_neutral,9,trajectory,0.15003986221249754,
SigLIP2,T_neutral,9,trajectory,0.08016570967262948,
lancaster_perceptual,T_neutral,9,trajectory,0.10911301751287468,
THINGS behavioral similarity,T_neutral,10,trajectory,0.16978921715866302,
controlled_THINGS,T_neutral,10,trajectory,0.1638172908763251,
SigLIP2,T_neutral,10,trajectory,0.09527751519571007,
lancaster_perceptual,T_neutral,10,trajectory,0.12282294122152446,
THINGS behavioral similarity,T_neutral,11,trajectory,0.1806688884420201,
controlled_THINGS,T_neutral,11,trajectory,0.1758007549058666,
SigLIP2,T_neutral,11,trajectory,0.1142492893015931,
lancaster_perceptual,T_neutral,11,trajectory,0.11254779004991354,
THINGS behavioral similarity,T_neutral,12,trajectory,0.17756997490979662,
controlled_THINGS,T_neutral,12,trajectory,0.1710375192732477,
SigLIP2,T_neutral,12,trajectory,0.10981183110265001,
lancaster_perceptual,T_neutral,12,trajectory,0.12140014095895015,
THINGS behavioral similarity,T_neutral,13,trajectory,0.1762993028543594,
controlled_THINGS,T_neutral,13,trajectory,0.16996580870808106,
SigLIP2,T_neutral,13,trajectory,0.11354799309229514,
lancaster_perceptual,T_neutral,13,trajectory,0.10760534924255104,
THINGS behavioral similarity,T_neutral,14,trajectory,0.1767745555493245,
controlled_THINGS,T_neutral,14,trajectory,0.1699668160211187,
SigLIP2,T_neutral,14,trajectory,0.11684451181368538,
lancaster_perceptual,T_neutral,14,trajectory,0.10684198930590766,
THINGS behavioral similarity,T_neutral,15,trajectory,0.17297135535426303,
controlled_THINGS,T_neutral,15,trajectory,0.16689976539256207,
SigLIP2,T_neutral,15,trajectory,0.11679933077681075,
lancaster_perceptual,T_neutral,15,trajectory,0.0933255719665045,
THINGS behavioral similarity,T_neutral,16,trajectory,0.1706449676463032,
controlled_THINGS,T_neutral,16,trajectory,0.16453676220948665,
SigLIP2,T_neutral,16,trajectory,0.12163179844729538,
lancaster_perceptual,T_neutral,16,trajectory,0.09912177920998838,
THINGS behavioral similarity,T_neutral,17,trajectory,0.16997466375978873,
controlled_THINGS,T_neutral,17,trajectory,0.1638633359657704,
SigLIP2,T_neutral,17,trajectory,0.12316830678497373,
lancaster_perceptual,T_neutral,17,trajectory,0.0925759469332785,
THINGS behavioral similarity,T_neutral,18,trajectory,0.16726216722177198,
controlled_THINGS,T_neutral,18,trajectory,0.16068450296001666,
SigLIP2,T_neutral,18,trajectory,0.1250168264711483,
lancaster_perceptual,T_neutral,18,trajectory,0.08847148856771546,
THINGS behavioral similarity,T_neutral,19,trajectory,0.15052444957267525,
controlled_THINGS,T_neutral,19,trajectory,0.14482883889690262,
SigLIP2,T_neutral,19,trajectory,0.1099917096442155,
lancaster_perceptual,T_neutral,19,trajectory,0.06848855460496346,
THINGS behavioral similarity,T_neutral,20,trajectory,0.19025317773489603,
controlled_THINGS,T_neutral,20,trajectory,0.18168901086718514,
SigLIP2,T_neutral,20,trajectory,0.1263875446242027,
lancaster_perceptual,T_neutral,20,trajectory,0.12240105771308335,
THINGS behavioral similarity,T_neutral,21,trajectory,0.170467827207578,
controlled_THINGS,T_neutral,21,trajectory,0.1641079311777071,
SigLIP2,T_neutral,21,trajectory,0.12035785802928269,
lancaster_perceptual,T_neutral,21,trajectory,0.0948637464546863,
THINGS behavioral similarity,T_neutral,22,trajectory,0.15238580607783855,
controlled_THINGS,T_neutral,22,trajectory,0.14940302715406054,
SigLIP2,T_neutral,22,trajectory,0.1289308503995456,
lancaster_perceptual,T_neutral,22,trajectory,0.05683712532439139,
THINGS behavioral similarity,T_neutral,23,trajectory,0.10897808036644165,
controlled_THINGS,T_neutral,23,trajectory,0.10822702417803187,
SigLIP2,T_neutral,23,trajectory,0.09934649839868774,
lancaster_perceptual,T_neutral,23,trajectory,0.013264062188180723,
THINGS behavioral similarity,T_neutral,24,trajectory,0.14317964626044793,
controlled_THINGS,T_neutral,24,trajectory,0.1411499229069921,
SigLIP2,T_neutral,24,trajectory,0.10873771497793384,
lancaster_perceptual,T_neutral,24,trajectory,0.04962333521903168,
THINGS behavioral similarity,T_neutral,25,trajectory,0.14576057109141596,
controlled_THINGS,T_neutral,25,trajectory,0.14328629181775945,
SigLIP2,T_neutral,25,trajectory,0.11077121591236355,
lancaster_perceptual,T_neutral,25,trajectory,0.060097807919652066,
THINGS behavioral similarity,T_neutral,26,trajectory,0.15155902519457817,
controlled_THINGS,T_neutral,26,trajectory,0.1494113321039598,
SigLIP2,T_neutral,26,trajectory,0.11004154899646867,
lancaster_perceptual,T_neutral,26,trajectory,0.07786926365710718,
THINGS behavioral similarity,T_neutral,27,trajectory,0.1859756331131631,
controlled_THINGS,T_neutral,27,trajectory,0.1809378071906662,
SigLIP2,T_neutral,27,trajectory,0.13267526945764685,
lancaster_perceptual,T_neutral,27,trajectory,0.1508411174744022,
