model,layer,domain,condition_a,condition_b,procrustes_disparity,concept_subset,bootstrap_id
Qwen/Qwen3.5-9B,0,sensory,T_neutral,T_prompt_primary,0.0,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,1,sensory,T_neutral,T_prompt_primary,0.12161420742232654,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,2,sensory,T_neutral,T_prompt_primary,0.14736888883656496,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,3,sensory,T_neutral,T_prompt_primary,0.11359475311999878,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,4,sensory,T_neutral,T_prompt_primary,0.1378729968571999,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,5,sensory,T_neutral,T_prompt_primary,0.2099662623250913,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,6,sensory,T_neutral,T_prompt_primary,0.22743241226537636,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,7,sensory,T_neutral,T_prompt_primary,0.20463203271880914,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,8,sensory,T_neutral,T_prompt_primary,0.22415566599891257,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,9,sensory,T_neutral,T_prompt_primary,0.24621787943626172,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,10,sensory,T_neutral,T_prompt_primary,0.2528742337474208,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,11,sensory,T_neutral,T_prompt_primary,0.25032839908203997,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,12,sensory,T_neutral,T_prompt_primary,0.2591419254192071,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,13,sensory,T_neutral,T_prompt_primary,0.2709811400915778,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,14,sensory,T_neutral,T_prompt_primary,0.2929683354775743,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,15,sensory,T_neutral,T_prompt_primary,0.3145364278418701,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,16,sensory,T_neutral,T_prompt_primary,0.33008698134369796,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,17,sensory,T_neutral,T_prompt_primary,0.32684700047325466,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,18,sensory,T_neutral,T_prompt_primary,0.3161525563318168,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,19,sensory,T_neutral,T_prompt_primary,0.24403733892276014,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,20,sensory,T_neutral,T_prompt_primary,0.22075695297215558,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,21,sensory,T_neutral,T_prompt_primary,0.22353440486173937,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,22,sensory,T_neutral,T_prompt_primary,0.20824062048915093,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,23,sensory,T_neutral,T_prompt_primary,0.17267961694588307,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3.5-9B,24,sensory,T_neutral,T_prompt_primary,0.16463452630822495,data/concepts/things_max_1854_concepts.csv,aggregate
