model,condition,layer,domain,anchor_name,anchor_type,rsa_score,bootstrap_id,ci_low,ci_high
Qwen/Qwen3.5-9B,T_neutral,0,sensory,THINGS behavioral similarity,human_behavioral,0.19868450249575473,aggregate,0.12039214733745368,0.2749902717112645
Qwen/Qwen3.5-9B,T_neutral,0,sensory,DINOv2,pure_vision,0.1745436087541351,aggregate,0.09419641915769743,0.2479901124274407
Qwen/Qwen3.5-9B,T_neutral,0,sensory,CLIP ViT-L/14,vision_language,0.06036642549800445,aggregate,-0.01166301595887926,0.1398004368826166
Qwen/Qwen3.5-9B,T_neutral,0,sensory,SigLIP2,vision_language,0.14225386593807648,aggregate,0.07274003132979628,0.211634914013365
Qwen/Qwen3.5-9B,T_neutral,1,sensory,THINGS behavioral similarity,human_behavioral,0.1951296857159715,aggregate,0.12342404068963257,0.2625948188434047
Qwen/Qwen3.5-9B,T_neutral,1,sensory,DINOv2,pure_vision,0.16799536700852494,aggregate,0.09612184748148653,0.24300433090757526
Qwen/Qwen3.5-9B,T_neutral,1,sensory,CLIP ViT-L/14,vision_language,0.0884387562019141,aggregate,0.016254758518124583,0.1621083511616338
Qwen/Qwen3.5-9B,T_neutral,1,sensory,SigLIP2,vision_language,0.06598303308829626,aggregate,-0.010051779327841449,0.13810578900730913
Qwen/Qwen3.5-9B,T_neutral,2,sensory,THINGS behavioral similarity,human_behavioral,0.17135141025301207,aggregate,0.09426312456635422,0.2448699531859291
Qwen/Qwen3.5-9B,T_neutral,2,sensory,DINOv2,pure_vision,0.16144301506143613,aggregate,0.08757539292822226,0.23434385985171402
Qwen/Qwen3.5-9B,T_neutral,2,sensory,CLIP ViT-L/14,vision_language,0.02502242304873884,aggregate,-0.05027130425449678,0.10558673002307464
Qwen/Qwen3.5-9B,T_neutral,2,sensory,SigLIP2,vision_language,0.12690502657607922,aggregate,0.057176952925391475,0.1973717075604561
Qwen/Qwen3.5-9B,T_neutral,3,sensory,THINGS behavioral similarity,human_behavioral,0.14400775633317256,aggregate,0.06307297110876788,0.21777666255017963
Qwen/Qwen3.5-9B,T_neutral,3,sensory,DINOv2,pure_vision,0.21251012698381122,aggregate,0.1431540145943924,0.28324098332110287
