concept,subtype,archive_image_count,mean_within_concept_similarity,mean_nearest_between_similarity,mean_image_to_prompt_similarity,mean_image_to_prototype_similarity,prototype_to_prompt_similarity,prototype_to_single_similarity,single_to_prompt_similarity,stability_margin,stability_verdict
marble,appearance_color,13,0.9910612146796269,0.9885170768454787,0.010253245562575166,0.9958655325049114,0.010295938782632791,0.9957709540699414,0.010337838143566602,0.002544137834148197,mixed
amber,appearance_color,12,0.9907400708013266,0.9857545232288322,0.008157345852404014,0.9957450142885973,0.008186229916763895,0.9946713203044911,0.007268266991596384,0.004985547572494475,mixed
gold,appearance_color,18,0.9913204419420943,0.9876893724632723,0.007359048168390354,0.9958919568775472,0.007376611837231045,0.9932201906400925,0.008720954846977335,0.00363106947882208,mixed
ruby,appearance_color,15,0.9896342908523399,0.9880291268380935,0.004354625863523962,0.9951484759072572,0.004340810852854952,0.9891423076619162,0.0061269111094498655,0.0016051640142463741,mixed
emerald,appearance_color,12,0.9873091833902788,0.9871907152707872,0.009872598712610973,0.9941647439409526,0.009901553685290639,0.9949411763439995,0.008234621327092987,0.00011846811949167702,mixed
coral,appearance_color,13,0.9914983669526646,0.9868615527587064,0.00820055163578466,0.9960680020135589,0.00822031364249017,0.9946603322293882,0.008303247898273485,0.0046368141939582275,mixed
sandpaper,texture_material,12,0.989249769057171,0.98124518624267,0.007730773347396782,0.9950596113608176,0.007748369790015409,0.9955415580232678,0.007731414137742516,0.008004582814501005,mixed
foam,texture_material,12,0.9875481457948271,0.9868032070823736,0.009633040823310656,0.9942751892210038,0.00964293417533082,0.9935807760046772,0.009101183010157035,0.0007449387124535134,mixed
mud,texture_material,13,0.9905195697065301,0.9848567591932429,0.00343558514260914,0.9956126427034614,0.0034914790003642555,0.992609300432939,0.008049079862899357,0.005662810513287209,mixed
ice,texture_material,14,0.9899208666819181,0.9861188195323017,0.00993065025053587,0.9953083965638662,0.009995013104180822,0.9935562958519396,0.008515228323956701,0.0038020471496164054,mixed
clay,texture_material,12,0.9882871307550437,0.9835040105688185,0.005935952866726819,0.9946160726227123,0.0059648140382742845,0.9931501992120876,0.0034735525675114315,0.004783120186225176,mixed
gravel,texture_material,12,0.9895593086880158,0.988014225290076,0.012693664607309007,0.9952026079115074,0.012740483503199174,0.9888324041911584,0.010462999008752407,0.0015450833979397949,mixed
moss,texture_material,12,0.9910754380092893,0.9863911108549924,0.00868420708117415,0.9959007737801894,0.008713388505023673,0.995867104045656,0.00905544228561794,0.004684327154296897,mixed
bark,texture_material,22,0.9937285196323331,0.9872838323259528,0.009571477614350725,0.9970014542854913,0.009594326276244628,0.9969676630461674,0.009385799812349193,0.006444687306380259,mixed
sponge,texture_material,14,0.9892462953710618,0.9887504784371192,0.005209994474810924,0.9949930801236401,0.005170325013356167,0.9831449635048263,0.006629007560353234,0.0004958169339426277,mixed
bell,sound_linked,17,0.9900480541064015,0.9898812629767761,0.008336231464360879,0.9953050950976655,0.008375530544109493,0.9926848563425085,0.006916218896068738,0.00016679112962536546,mixed
fireworks,sound_linked,22,0.9923909832608458,0.9792467349821368,0.0038211343303335486,0.9963601011309396,0.003813327430201193,0.9926902137557434,0.0035818115394179936,0.01314424827870908,mixed
drum,sound_linked,15,0.990277865307153,0.9906383640350138,0.009905628729073355,0.9954519983768939,0.009949901036566443,0.9929906792008372,0.010816016193829641,-0.00036049872786081405,image_fragile
siren,sound_linked,13,0.993158737568139,0.9848681434534853,0.004778894314212038,0.9968371430761219,0.004788343653146916,0.9856781690042986,0.0038581881847842988,0.008290594114653715,mixed
gong,sound_linked,12,0.991433845649821,0.9911804944454152,0.007706346805515463,0.9960659566993629,0.007736924476120594,0.9919910919770962,0.00719293500433673,0.00025335120440572734,mixed
cymbal,sound_linked,16,0.9883613321328206,0.9905912571741768,0.008732750134730941,0.9945291005897257,0.008781194367558403,0.9950947474813364,0.008055823003278782,-0.0022299250413562177,image_fragile
chime,sound_linked,12,0.9911058697185768,0.9895822293471607,0.006297889016301572,0.9959150800518125,0.006327085525283868,0.99409181539677,0.005171611565550487,0.0015236403714161684,mixed
engine,sound_linked,12,0.9936399025278569,0.9846057450494944,0.0093468927798851,0.9970806552101816,0.00937666058453408,0.993745180480864,0.00796751206602814,0.009034157478362559,mixed
rooster,sound_linked,14,0.9930422995646826,0.9779464689910816,0.012295511893215693,0.9967638874825961,0.0123477178196599,0.9931966033458425,0.011564036252414636,0.015095830573600977,mixed
coffee,smell_taste_proxy,15,0.9928058607679646,0.9877125859132637,0.010655474158817516,0.9966361855334716,0.010689196901564607,0.993545553479851,0.010053373376676084,0.005093274854700902,mixed
garlic,smell_taste_proxy,12,0.9912588281784366,0.9933233658090924,0.007481491315892351,0.9959845316768202,0.0074942240134555855,0.9946057968508374,0.008731513458788429,-0.0020645376306558383,image_fragile
cinnamon,smell_taste_proxy,12,0.9928741148296641,0.9887112426852189,0.010865553448102526,0.9967275562788788,0.010884299816664271,0.9952646455065012,0.011949856890692945,0.004162872144445218,mixed
lemon,smell_taste_proxy,12,0.9915995061499628,0.9939050528241117,0.007625622177144191,0.9961410613582996,0.007671354886367872,0.9958256151190367,0.010031068485385897,-0.0023055466741488395,image_fragile
peppermint,smell_taste_proxy,12,0.9937441645406234,0.989185332251766,0.010119966796459783,0.9971283855145293,0.010151309088153355,0.9952274699615019,0.010129883494893828,0.004558832288857451,mixed
onion,smell_taste_proxy,15,0.988714030568904,0.9921686456459987,0.010709245548606961,0.9947185844219112,0.010757544313242346,0.9941360869869423,0.009298325204744691,-0.0034546150770947692,image_fragile
basil,smell_taste_proxy,14,0.993844422067219,0.988271633819183,0.008451068476737897,0.997135942141,0.008474277538676463,0.9974754038987275,0.008259498202025721,0.005572788248035976,mixed
ginger,smell_taste_proxy,12,0.9925851135917422,0.98875152753276,0.009160605520423505,0.9965940668134431,0.00916480654369348,0.9932228015611956,0.00799389272452448,0.003833586058982208,mixed
orange,smell_taste_proxy,13,0.9894782740462281,0.9938676745478069,0.009398133086574386,0.9951285718500439,0.009409783147177836,0.9956582758426494,0.009657445209769161,-0.004389400501578766,image_fragile
soap,smell_taste_proxy,12,0.987410881565383,0.9862433379681325,0.008611650749670574,0.994212545208275,0.008685521178289392,0.995093965967179,0.007950486980946034,0.0011675435972505754,mixed
perfume,smell_taste_proxy,12,0.9888895918074899,0.9861285903000946,0.013325836990051533,0.9948931504415056,0.013378689741611913,0.9917764456398236,0.01222548454479791,0.002761001507395333,mixed
